,player,wins,losses,matches,win_pct
119,Alexei Popyrin,15,27.0,42.0,0.35714285714285715
120,Alejandro Davidovich Fokina,15,16.0,31.0,0.4838709677419355
121,Salvatore Caruso,14,20.0,34.0,0.4117647058823529
122,Mikael Ymer,14,15.0,29.0,0.4827586206896552
123,Yuichi Sugita,14,33.0,47.0,0.2978723404255319
124,Hugo Dellien,14,23.0,37.0,0.3783783783783784
125,Mirza Basic,13,23.0,36.0,0.3611111111111111
126,Paolo Lorenzi,13,29.0,42.0,0.30952380952380953
127,Soon Woo Kwon,13,15.0,28.0,0.4642857142857143
128,Marcel Granollers,13,16.0,29.0,0.4482758620689655
129,Lukas Lacko,12,19.0,31.0,0.3870967741935484
130,Stefano Travaglia,12,23.0,35.0,0.34285714285714286
131,Horacio Zeballos,11,14.0,25.0,0.44
132,Viktor Troicki,11,19.0,30.0,0.36666666666666664
133,Dominik Koepfer,11,11.0,22.0,0.5
134,Jack Sock,11,28.0,39.0,0.28205128205128205
135,Attila Balazs,11,9.0,20.0,0.55
136,Gregoire Barrere,10,18.0,28.0,0.35714285714285715
137,Gilles Muller,9,19.0,28.0,0.32142857142857145
138,Cedrik Marcel Stebe,9,15.0,24.0,0.375
139,Daniel Elahi Galan,9,8.0,17.0,0.5294117647058824
140,Guido Andreozzi,9,20.0,29.0,0.3103448275862069
141,Nicolas Mahut,9,12.0,21.0,0.42857142857142855
142,Marcos Giron,9,12.0,21.0,0.42857142857142855
143,Jozef Kovalik,9,21.0,30.0,0.3
144,Michael Mmoh,9,11.0,20.0,0.45
145,Emil Ruusuvuori,9,10.0,19.0,0.47368421052631576
146,Bradley Klahn,9,23.0,32.0,0.28125
147,Ramkumar Ramanathan,9,14.0,23.0,0.391304347826087
148,Yannick Maden,8,15.0,23.0,0.34782608695652173
149,Yannick Hanfmann,8,11.0,19.0,0.42105263157894735
150,Nicolas Kicker,8,12.0,20.0,0.4
151,Julien Benneteau,8,11.0,19.0,0.42105263157894735
152,Matthias Bachinger,8,8.0,16.0,0.5
153,Prajnesh Gunneswaran,8,23.0,31.0,0.25806451612903225
154,Mikhail Youzhny,7,18.0,25.0,0.28
155,Janko Tipsarevic,7,11.0,18.0,0.3888888888888889
156,Pedro Martinez,7,11.0,18.0,0.3888888888888889
157,Alex Bolt,7,14.0,21.0,0.3333333333333333
158,Tim Smyczek,7,15.0,22.0,0.3181818181818182
159,Sergiy Stakhovsky,7,14.0,21.0,0.3333333333333333
160,Dudi Sela,7,10.0,17.0,0.4117647058823529
161,Thiago Seyboth Wild,7,7.0,14.0,0.5
162,Kamil Majchrzak,7,10.0,17.0,0.4117647058823529
163,Norbert Gombos,7,13.0,20.0,0.35
164,Jason Jung,7,14.0,21.0,0.3333333333333333
165,Steve Darcis,7,13.0,20.0,0.35
166,Marco Trungelliti,7,7.0,14.0,0.5
167,Ruben Bemelmans,7,19.0,26.0,0.2692307692307692
168,Jurgen Zopp,6,7.0,13.0,0.46153846153846156
169,Andrej Martin,6,12.0,18.0,0.3333333333333333
