,year,score,round,minutes,p1name,p1age,p1ace,p1rank,p1_win_pct,p1_win_pct_hsf,p2name,p2age,p2ace,p2rank,p2_win_pct,p2_win_pct_hsf,p1won,p2won
101,2015,6-1 3-6 6-3 7-6(3),R128,152.0,Albert Ramos,27.0061601643,1.0,61.0,0.4796747967479675,0.3636363636363637,Andrey Kuznetsov,23.906913073200002,8.0,88.0,0.5,0.5,0,1
102,2018,6-1 6-1 6-1,R128,94.0,Victor Estrella,37.453798768,1.0,79.0,0.1,0.47,Rafael Nadal,31.6194387406,2.0,1.0,0.8714285714285714,0.8513513513513513,0,1
103,2011,6-3 6-0 3-6 7-6(3),R64,137.0,Benjamin Becker,29.5879534565,9.0,55.0,0.46,0.47,Alexandr Dolgopolov,22.1930184805,18.0,46.0,0.5,0.625,0,1
104,2013,6-3 6-1 6-3,R128,97.0,Robin Haase,25.7768651608,2.0,53.0,0.4395604395604396,0.4736842105263158,Andy Murray,25.6700889802,4.0,3.0,0.5833333333333334,0.6060606060606061,0,1
105,2020,7-6(0) 6-2 6-3,R32,129.0,Guido Pella,29.6783025325,7.0,25.0,0.5447154471544715,0.44680851063829785,Fabio Fognini,32.659822039699996,11.0,12.0,0.6,0.5774647887323944,0,1
106,2018,7-6(3) 6-3 6-4,R128,124.0,Andreas Haider Maurer,30.819986310700003,11.0,448.0,0.46,0.47,Alexandr Dolgopolov,29.1882272416,11.0,37.0,0.5,0.625,0,1
107,2017,6-3 6-4 6-7(5) 6-1,R128,143.0,Konstantin Kravchuk,31.895961670100004,19.0,88.0,0.46,0.47,John Isner,31.726214921300002,33.0,19.0,0.6,0.5684210526315789,0,1
108,2020,7-6(3) 6-3 1-6 7-5,R128,204.0,Ugo Humbert,21.568788501,6.0,43.0,0.5070422535211268,0.5,John Millman,30.6009582478,5.0,47.0,0.4957264957264957,0.5316455696202531,0,1
109,2016,6-2 6-1,R128,54.0,Filip Krajinovic,23.8904859685,6.0,102.0,0.5700934579439252,0.5617977528089888,Denis Kudla,23.4195756331,10.0,69.0,0.3728813559322034,0.3333333333333333,0,1
110,2010,6-1 6-4 6-3,R64,110.0,Marc Gicquel,32.8049281314,1.0,57.0,0.46,0.47,Andy Murray,22.6803559206,10.0,4.0,0.5833333333333334,0.6060606060606061,0,1
111,2015,7-6(3) 7-6(3) 6-3,R128,126.0,Illya Marchenko,27.364818617399997,5.0,144.0,0.3333333333333333,0.3333333333333333,Milos Raonic,24.0629705681,28.0,8.0,0.6756756756756757,0.6385542168674698,0,1
112,2019,6-1 6-3 4-6 6-0,R128,107.0,Rudolf Molleker,18.2176591376,9.0,206.0,0.3333333333333333,0.47,Diego Schwartzman,26.4120465435,9.0,16.0,0.5886075949367089,0.5294117647058824,0,1
113,2018,6-4 6-4 6-4,R128,116.0,Florian Mayer,34.2806297057,7.0,68.0,0.1176470588235294,0.47,Evgeny Donskoy,27.6878850103,10.0,72.0,0.36,0.35,0,1
114,2018,6-1 5-2 RET,SF,62.0,Hyeon Chung,21.659137577,1.0,58.0,0.5737704918032787,0.5789473684210527,Roger Federer,36.438056125900005,9.0,2.0,0.8320000000000001,0.8181818181818182,0,1
115,2017,6-4 7-6(4) 5-7 7-6(8),R128,236.0,Radu Albot,27.1813826146,7.0,96.0,0.44954128440366975,0.4605263157894737,Carlos Berlocq,33.9520876112,18.0,90.0,0.1111111111111111,0.56,0,1
116,2018,6-4 7-6(5) 6-3,QF,148.0,Tennys Sandgren,26.485968514699998,12.0,97.0,0.4235294117647059,0.42857142857142855,Hyeon Chung,21.659137577,7.0,58.0,0.5737704918032787,0.5789473684210527,0,1
117,2020,6-2 6-0 6-3,R128,75.0,Elliot Benchetrit,21.3004791239,6.0,231.0,0.2,0.47,Yuichi Sugita,31.337440109499997,7.0,91.0,0.2978723404255319,0.3125,0,1
118,2013,3-6 6-4 2-6 6-4 6-3,R32,209.0,Julien Benneteau,31.069130732399998,12.0,38.0,0.42105263157894735,0.4545454545454545,Janko Tipsarevic,28.5639972621,13.0,9.0,0.3888888888888889,0.3333333333333333,0,1
119,2020,6-4 6-1 1-6 6-4,R64,128.0,Peter Gojowczyk,30.5160848734,12.0,120.0,0.40963855421686746,0.43333333333333335,Pablo Carreno Busta,28.5256673511,11.0,30.0,0.5877862595419847,0.6436781609195402,0,1
120,2019,6-3 7-6(6) 5-7 5-7 7-6(7),R64,228.0,Ivo Karlovic,39.8767967146,59.0,73.0,0.3965517241379311,0.3888888888888889,Kei Nishikori,29.0431211499,9.0,9.0,0.6576576576576577,0.65625,0,1
